Date,Open,High,Low,Close,Volume,OpenInt
2002-09-19,57.60524579,58.14787341,56.74106598,56.74106598,48510500,0
2002-09-20,57.14346108,57.33187488,56.55803323,56.75990295,46325600,0
2002-09-23,56.28890087,56.5647912,55.64290814,56.29563141,46893800,0
2002-09-24,55.47467331,56.28889338,55.07765395,55.38719177,69507000,0
2002-09-25,56.10045466,57.04252365,55.20548399,56.75990295,59294400,0
2002-09-26,57.2107673,57.85003445,56.82720907,57.6885376,53638000,0
2002-09-27,57.19730827,57.62123941,55.68326187,55.68326187,64648300,0
2002-09-30,55.17858762,55.71691736,54.43838808,55.03727722,73096400,0
2002-10-01,55.46795374,57.71546995,54.82196096,57.68182755,67198100,0
2002-10-02,56.98870429,57.55394578,55.58232084,55.9524231,56749100,0
2002-10-03,55.94570802,56.92815549,55.14494389,55.38719177,55547000,0
2002-10-04,55.71689331,55.79763914,53.55012449,54.37107468,68483700,0
2002-10-07,53.87313579,54.64025225,52.85704608,53.24732971,53188000,0
2002-10-08,53.70490093,54.71426509,52.62151631,54.0817337,79531000,0
2002-10-09,53.22041641,53.63089167,52.3389065,52.55423737,79956400,0
2002-10-10,52.44657898,54.55278431,51.86114575,54.25670242,76749000,0
2002-10-11,55.24586034,57.01561534,55.05744653,56.63205719,82308300,0
2002-10-14,55.98606162,57.09636319,55.87839878,56.9483223,40631900,0
2002-10-15,58.53641679,59.7005529,58.44220984,59.68709183,82320300,0
2002-10-16,58.81902472,59.08145903,57.81638582,58.24032211,62977800,0
2002-10-17,59.80144327,60.09079443,59.115073,59.39769363,68534100,0
2002-10-18,58.9805228,59.96297012,58.4960271,59.64670181,47448700,0
2002-10-21,59.29678156,60.89830418,58.92667932,60.67624283,45859100,0
2002-10-22,59.92258273,60.56857512,59.56593644,60.23884583,40966800,0
2002-10-23,59.73418451,60.74354893,59.00071549,60.69644547,54905800,0
2002-10-24,61.06653573,61.16747318,59.28332457,59.45828247,54987400,0
2002-10-25,59.35735676,60.82429994,59.17567343,60.69644547,43672100,0
2002-10-28,61.33571227,61.4299192,59.7880181,60.29943085,39416100,0
2002-10-29,59.94277556,60.21866577,58.54312266,59.5995903,59508200,0
2002-10-30,59.67361302,60.53493634,59.37080581,60.17829514,41688600,0
2002-10-31,60.33307393,60.76373564,59.34389605,59.5659523,41620600,0
2002-11-01,59.45155664,61.11364402,59.24968686,60.74354172,51878900,0
2002-11-04,61.77311907,62.5402358,61.16749925,61.32226563,49080600,0
2002-11-05,61.12709219,61.95477308,61.12709219,61.80673218,37270800,0
2002-11-06,62.23065913,62.62767318,61.09344068,62.60748672,65013100,0
2002-11-07,61.92111958,62.05570454,60.70988576,61.07325745,51572000,0
2002-11-08,60.91849825,61.61832477,60.2388582,60.32633972,37905400,0
2002-11-11,60.23213192,60.26577431,59.08145727,59.39099503,33505100,0
2002-11-12,59.66014885,60.51474151,59.46500451,59.86201859,37724500,0
2002-11-13,59.43138489,60.38691544,58.8459516,59.92261124,63891500,0
2002-11-14,60.60894742,61.23475334,60.39361662,61.05307007,31896800,0
2002-11-15,60.56186984,61.60488187,60.5282223,61.5039444,39152100,0
2002-11-18,62.00858379,62.00858379,60.79734518,60.88482666,28934800,0
2002-11-19,60.57531955,61.30206314,60.40036675,60.80411148,32806600,0
2002-11-20,60.54839358,62.19028912,60.52820198,62.15664673,36688400,0
2002-11-21,62.31143012,63.3813591,62.19703672,63.31406403,55128200,0
2002-11-22,62.90360592,63.43520011,62.76229035,62.86322784,32513800,0
2002-11-25,62.86992456,63.42844059,62.4258019,62.90357208,33846400,0
2002-11-26,62.62767922,62.88338295,61.65196262,61.70579147,42284700,0
2002-11-27,62.25758383,63.69088434,62.19702444,63.44190598,37764000,0
2002-11-29,63.79181774,63.89275005,63.09871669,63.2400322,19385700,0
2002-12-02,64.24269756,64.63298647,62.72865056,63.34099579,49911900,0
2002-12-03,62.74880294,62.84974038,62.14318344,62.49309921,34407700,0
2002-12-04,61.75290487,62.67479277,61.52411809,62.21048355,64040800,0
2002-12-05,62.39892801,62.44603149,61.30208175,61.52414322,36724900,0
2002-12-06,60.642617,62.02207864,60.54841006,61.9278717,49824100,0
